0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,88","25.339.592,83","23.339.592,83",2025-06-01-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%","-21.413,67"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"939,92","16.894.627,00","14.894.627,00",2025-09-7-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,3%","-81.144,00"
1,ANCIPA,ENEL,"950,00","30.410.000,00","942,50","19.584.257,75","17.584.257,75",,,2025-02-1-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"940,45","17.435.625,90","15.435.625,90",2025-09-2-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-61.687,45"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,03","25.500.195,43","23.500.195,43",2025-05-19-Volume%20Giornaliero%20Potabile.pdf,0,,"+ 0,1%","42.827,36"
1,ANCIPA,ENEL,"939,00","30.410.000,00","936,20","13.355.034,78","11.355.034,78",,,2025-01-16-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"939,00","30.410.000,00","938,80","15.777.673,15","13.777.673,15",,,2025-01-19-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"949,39","26.956.325,67","24.956.325,67",2025-04-7-Volume%20Giornaliero%20Potabile.pdf,0,,"+ 0,0%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,00","25.468.074,91","23.468.074,91",2025-05-26-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%","-32.120,52"
1,ANCIPA,ENEL,"950,00","30.410.000,00","943,26","20.394.201,90","18.394.201,90",,,2025-02-7-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,44","24.868.491,87","22.868.491,87",2025-05-14-Volume%20Giornaliero%20Potabile_rev.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,43","24.761.423,47","22.761.423,47",2025-02-22-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,2%",
